ID	Name	Name Translation	Description	Description Translation
520	Great Wyrm of Law	Велик$AMM Зме*й$N2E Закона	A massive dragon of powerful intellect.  It seeks to dominate the universe and despises all other life.  It sees all who do not obey it as mere insects to be crushed underfoot.	Большой дракон с развитым интеллектом. Он пытается властвовать над вселенной и презирает любую другую жизнь. Он видит всех, не слушающихся его, ничтожными насекомыми, которых можно лишь раздавить.
521	Great Wyrm of Balance	Велик$AMM Зме*й$N2E Баланса	A massive dragon, one of the mightiest of dragonkind.  It is thousands of years old and seeks to maintain the Cosmic Balance.  It sees you as an upstart troublemaker without the wisdom to control your actions.  It will destroy you.	Один из величайших драконов. Много тысяч лет он поддерживает Космический Баланс. Он видит вас глупым баламутом, без капли мудрости для контроля над своими действиями. Он уничтожит вас.
522	Tselakus, the Dreadlord	Целакус$N2A, Властелин$N2A Ужасов	This huge affront to existence twists and tears at the fabric of space.  A master of mighty magic, Tselakus hungers for your tender flesh.  Darkness itself recoils from the touch of Tselakus as he leaves a trail of death and destruction.  Tselakus is a being of sneering contempt, laughing at your pitiful efforts to defy him.  Mighty claws rend reality as he annihilates all in his path to your soul!	Этот вызов всему живому искривляет и разрывает саму структуру пространства. Мастер мощной магии, Целакус жаждет вашей хрупкой плоти. Сама тьма страшится прикосновения Целакуса, оставляющего след смерти и разрушения. Целакус смеется над вашими жалкими попытками защититься от него. Его могучие когти рвут реальность, в то время, как он уничтожает все на пути к вашей душе!
523	Great Wyrm of Many Colours	Велик$AMM Зме*й$N2E Радуги	A gigantic dragon whose scales shimmer in myriad hues.	Гигантский дракон, чья чешуя отливает мириадами оттенков.
524	Black reaver	Черн$AMT Опустошител*ь$N2E	A humanoid form,  black as night, advancing steadily and unstoppably, even the very rock of the dungeon cannot prevent it reaching you.	Человеческая фигура, чернее ночи, движущаяся ровно и беспрепятственно, и даже камни подземелья не могут защитить вас от нее.
525	Greater demonic quylthulg	больш$AMN демоническ$AMM квулсхулг$N2A	A massive pulsating mound of flesh, glowing with a hellish light.	Массивный пульсирующий холм плоти, горящий адским светом.
526	Greater draconic quylthulg	больш$AMN дракон^ь$AMO квулсхулг$N2A	A massive mound of scaled flesh, throbbing and pulsating with multi-hued light.	Большой холм чешуйчатой плоти, пульсирующий многоцветным светом.
527	Greater rotting quylthulg	больш$AMN гниющ$AMO квулсхулг$N2A	A massive pile of rotting flesh.  A disgusting stench fills the air as it throbs and writhes.	Огромная груда гниющей плоти. Отвратительный запах заполняет воздух от ее хлюпания и бурления.
528	Feagwath, the Undead Sorcerer	Феагват$N2A, Мертв$AMT Колдун$N2A	A stench of corruption and decay surrounds this sorcerer, who has clearly risen from the dead to continue his foul plots and schemes.	Запах разрушения и распада окружает этого колдуна, поднявшегося из могилы, чтобы продолжить свои бесчинства.
529	Omarax, the Eye Tyrant	Омаракс$N2A, Тиран$N2A Глаз	A beholder of great size and age, floating in the air.  His gaze seems to shred your soul and his spells crush your will.  He is ancient, his history steeped in forgotten evils, his atrocities numerous and sickening.	Созерцатель огромных размеров и возраста, плавающий в воздухе. Его взгляд рвет вашу душу, его заклинания сокрушают вашу волю. Он очень древний, его история усеяна забытым злом, его жестокости многочисленны и ужасны.
530	Ungoliant, the Unlight	Унголиант Темн$AFT	This enormous, hideous spirit of void is in the form of a spider of immense proportions.  She is surrounded by a cloud of Unlight as she sucks in all living light into her bloated body, and breathes out the blackest of darkness.  She is always ravenously hungry and would even eat herself to avoid starvation.	Этот огромный, уродливый дух пустоты имеет форму паука огромных пропорций. Она окружена облаком тьмы, и высасывает свет в свое разбухшее тело, и дышит черной темнотой. Она всегда голодна, и может сожрать себя, чтобы насытиться. `И там, в Аватаре, тайно поселилась Унголиант. Эльдарам неизвестно, откуда она взялась, но некоторые утверждали, что в давно забытых эпохах ее родила тьма, окружавшая Арду, когда Мелькор впервые с завистью взглянул вниз на королевство Манве. И она была одной из тех, кого в самом начале подкупил Мелькор, дабы они служили ему. Но Унголиант покинула своего хозяина, сжигаемая одной страстью использовать все живое, чтобы напитать свою пустоту.`
531	Aether hound	эфирн$AFT гонч$AFM	A shifting, swirling form.  It seems to be all colours and sizes and shapes, though the dominant form is that of a huge dog.  You feel very uncertain all of a sudden.	Непостоянная, изменяющаяся фигура. Она кажется всех цветов и размеров сразу, хотя преобладает форма огромной собаки. Вас не покидает чувство нереальности происходящего.
532	The Mouth of Sauron	Глашата*й$N2E Саурона	The Mouth of Sauron is a mighty spell caster.  So old that even he cannot remember his own name, his power and evil are undeniable.  He believes unshakably that he is unbeatable and laughs as he weaves his awesome spells.	Глашатай Саурона - могущественный маг. Он настолько стар, что даже он не помнит собственного имени. Его сила и зло непререкаемы. Он слепо верит в свою непобедимость и смеется, колдуя свои страшные заклинания. `Всадник был одет в черное, и у него был высокий черный шлем. Но это был не Кольценосец, а живой человек. Это был командир башни Барад-Дура, и имя его осталось неизвестным, и он сам забыл его и говорил о себе: ``Я - Глашатай Саурона``. Говорили, что это предатель, происходивший из Черных Нуменорцев; они поселились в Средиземье в годы господства Саурона и преклонялись перед ним, очарованные его злыми знаниями. И он поступил на службу Башни Тьмы, когда она восстала вновь, и благодаря своей ловкости заслужил расположение своего повелителя; и он овладел колдовством и хорошо узнал характер Саурона, и орки страшились его жестокости.`
533	Master quylthulg	Повелител*ь$N2E-Квулсхулг$N2A	A giant seething mass of flesh, overwhelming you with monster after monster.	Огромная бурлящая масса плоти, выбрасывающая на вас монстра за монстром.
534	Qlzqqlzuup, the Emperor Quylthulg	Клзкклзууп$N2A, Император$N2A-Квулсхулг$N2A	A gigantic seething mass of flesh, Qlzqqlzuup changes colours in front of your eyes.  Pulsating first one colour then the next, it knows only it must bring help to protect itself.	Гигантская бурлящая масса плоти, Клзкклзууп меняет цвета на ваших глазах. Пульсируя одним цветом за другим, оно знает лишь, что оно должно принести помощь, чтобы защитить себя.
535	The Witch-King of Angmar	Корол*ь$N2E-Ведьмак$N2A Ангмара	The Chief of the Ringwraiths.  A fell being of devastating power.  His spells are lethal and his combat blows crushingly hard.  He moves at speed, and commands legions of evil to do his bidding.  It is said that he is fated never to die by the hand of mortal man.	Предводитель Кольценосцев. Ужасное существо опустошающей мощи. Его заклинания летальны, его удары сокрушительны. Он быстро двигается, и командует легионами зла, готовыми выполнить его волю. Говорят, что ему не суждено погибнуть от руки смертного человека. `Поработить людей оказалось легче. Кто пользовался одним из девяти Колец, обретали могущество, но один за другим эти люди попадали в рабство к Кольцу и оказывались во власти Главного Кольца Саурона. Они уходили в королевство мрака. То были Назгулы, Духи Кольца. Тьма сопровождала их, и крик их был голосом смерти.`
536	Pazuzu, Lord of Air	Пазузу, Лорд$N2A Воздуха	A winged humanoid demon from the Planes of Hell, Pazuzu grins inhumanely at you as he decides your fate.	Крылатый демон из плоскостей Ада, Пазузу ухмыляется вам нечеловеческой ухмылкой, решая вашу судьбу.
537	Hellhound	Hellhound	It is a giant dog that glows with heat.  Flames pour from its nostrils.	It is a giant dog that glows with heat.  Flames pour from its nostrils.
538	Cantoras, the Skeletal Lord	Канторас$N2A, Лорд$N2A Скелетов	A legion of evil undead druj animating the skeleton of a once mighty sorcerer.  His power is devastating and his speed unmatched in the underworld.  Flee his wrath!	Легион злых существ, поселившихся в скелете могучего когда-то колдуна. Его власть разрушительна, а скорость - несравнима ни с чем в преисподней. Бойтесь его гнева!
539	The Tarrasque	Тарраск$N2A	The Tarrasque is a massive reptile of legend, rumoured to be unkillable and immune to magic.  Fear its anger, for its devastation is unmatched!	Тарраск - огромная рептилия из легенд, по слухам, неубиваемая и неуязвимая к магии. Бойтесь его гнева, ибо с его силой не сравнится ничто!
540	Lungorthin, the Balrog of White Fire	Люнгортин$N2A, Балрог$N2A Белого Пламени	A massive form cloaked in flame.  Lungorthin stares balefully at you with eyes that smoulder red.  The dungeon floor where he stands is scorched by the heat of his body.	Большой Балрог, одетый пламенем. Люнгортин зловеще смотрит на вас глазами, пылающими красным. Пол подземелья, где он стоит, опален жаром его тела.
541	Draugluin, Sire of All Werewolves	Драуглуин$N2A, Властелин$N2A Оборотней	Draugluin provides Sauron with a fearsome personal guard.  He is an enormous wolf inhabited with a human spirit.  He is chief of all his kind.	Драуглуин обеспечивает Саурона страшной стражей. Он - огромный волколак, заселенный человеческим духом. Он - повелитель своего народа. `Он послал на мост волка, но Хуан бесшумно убил его. Саурон посылал других, и Хуан одного за другим хватал за горло и убивал. Тогда Саурон послал Драуглуина, ужасного зверя, обладавшего огромной силой, и битва между ним и Хуаном была долгой и свирепой...`
542	Vecna, the Emperor Lich	Векн$N1T, Император$N2A-Лич$N2C	The greatest of all undead sorcerers, even the gods once feared him.  This ancient shadow of death wilts every living thing it passes.	Величайший из всех мертвых колдунов, даже боги боялись его. Эта древняя тень смерти порабощает всех живых существ, которых встречает.
543	Huan, Wolfhound of the Valar	Хуан$N2A, Волкодав$N2A Валар	The wolfhound of the Valar, Huan has served many masters in his time, from Celegorm son of Feanor to Beren son of Barahir: but now he runs wild and acknowledges no master save himself, as he hunts alone for his nemesis - Carcharoth, the terrible wolf of Angband.	Волкодав Валар, Хуан служил многим в свое время, от Келегорма, сына Феанора, до Берена, сына Бараира; но сейчас он не признает никакого хозяина, кроме самого себя, в одиночку охотясь за своим врагом - Кархаротом, ужасным волколаком Ангбэнда. `Вожака стаи волкодавов, следовавшего за Келегормом, звали Хуан. Он не был рожден в Средиземье, но явился из Благословенной Земли, потому что много лет назад Ороме отдал его в Валиноре Келегорму, и Хуан сопровождал своего хозяина еще до прихода зла.`
544	Carcharoth, the Jaws of Thirst	Кархарот$N2A, Жаждущие Челюсти	The first guard of Angband, Carcharoth, also known as `The Red Maw`, is the greatest wolf to ever walk the earth.  He is highly intelligent and a deadly opponent in combat.	Первый страж Ангбэнда, Кархарот, также известный как `Красная Пасть`, величайший из волколаков, ходивших по земле. Он очень умен и является смертельным оппонентом в бою. `И тогда Моргот выбрал из потомства щенков Драуглуина одного и сам кормил его живой плотью, и вложил в него свою силу. Волк рос так быстро, что вскоре перестал помещаться в логове и лежал огромный, всегда голодный, у ног Моргота. Огонь и муки ада были вложены в него. Кархарот, Красная Пасть - так именовался он в повествованиях, и еще Анфауглир, Жаждущая Глотка. И Моргот повелел ему лежать без сна перед дверями Ангбэнда, чтобы Хуан не вошел туда.`
545	Gothmog, the High Captain of Balrogs	Госмог$N2A, Высок$AMM Капитан$N2A Балрогов	Gothmog is the Chief Balrog in Morgoth`s personal guard.  He is renowned for slaying Feanor and Fingon, two of the High Kings of the Noldor Elves, and has never been defeated in combat.  With his whip of flame and awesome fiery breath he saved his master from Ungoliant`s rage.	Госмог - предводитель Балрогов Моргота. Он убил Феанора и Фингона, двух Высоких Королей эльфов Нолдора, и никогде не был побежден в бою. Своим пламенным хлыстом и мощным огненным дыханием он спас своего повелителя от гнева Унголиант. `Фингон остался один среди своих мертвых телохранителей и сражался с Госмогом, но другой балрог зашел сзади и обвил ноги Фингона огненным бичом. Тогда Госмог зарубил Фингона топором, и из расколотого шлема Фингона ударило вверх белое пламя.`
546	Sauron, the Sorcerer	Саурон$N2A Жесток$AMM	He is Morgoth`s most powerful servant.  Mighty in spells and enchantments, he created the One Ring.  His eyes glow with power and his gaze seeks to destroy your soul.  He has many servants, and rarely fights without them.	Он - величайший из слуг Моргота. Могучий в заклинания и чарах, он создал Кольцо Всевластья. Его глаза горят властью, а его взгляд ищет вас, чтобы уничтожить вашу душу. У него много прислужников, и он не сражается без них. `Среди тех его слуг, что имеют имена, был тот дух, которого Эльдары называли Сауроном или Гортауром Жестоким. Вначале он был среди Майар Ауле и стал великим в познаниях этого народа. Во всех делах Мелькора-Моргота в Арде, в его опустошительных действиях, обманах и коварстве принимал участие и Саурон. И в этом Саурон был лишь чуть меньшим злом, чем его хозяин, которому он долго служил. Но в последующие годы Саурон возвысился, как тень Моргота, как дух его злобы и последовал за ним той же тропой разрушения вниз, в Пустоту.`
547	Morgoth, Lord of Darkness	Моргот$N2A, Властелин$N2A Тьмы	He is the Master of the Pits of Angband.  His figure is like a black mountain crowned with lightning.  He rages with everlasting anger, his body scarred by Fingolfin`s eight mighty wounds.  He can never rest from his pain, but seeks forever to dominate all that is light and good in the world.  He is the origin of man`s fear of darkness and created many foul creatures with his evil powers.  Orcs, Dragons, and Trolls are his most foul corruptions, causing much pain and suffering in the world to please him.  His disgusting visage, twisted with evil, is crowned with iron, the two remaining Silmarils forever burning him.  Grond, the mighty Hammer of the Underworld, cries defiance as he strides towards you to crush you to a pulp!	Он - Повелитель крепости Ангбэнда. Его фигура подобна черной горе, коронованной молнией. Он горит вечным гневом, Его тело изуродовано восемью ранами Фингольфина. Он никогда не отдыхает от своей боли, но пытается поработить все светлое и хорошее в мире. Он - источник человеческого страха темноты. Он создал многих ужасных существ; Орки, Драконы и Тролли - самые отвратительные из них, причиняющие много боли и страдания в мире на радость Ему. Его ужасное лицо короновано железной короной, и два оставшихся Сильмарилла вечно обжигают Его. Гронд, Его могучий Молот Преисподней, зовет вас, чтобы сокрушить в пыль!
548	Silver mouse	серебрян$AFT мыш$N3	It is about three feet long with large teeth.  As the light of your lamp falls on it, it seems to grow stronger.	Около трех футов длиной, с большими зубами. Когда свет вашей лампы падает на нее, она кажется больше.
549	Rot jelly	гниющ$ANO желе	It is a large pile of rotting flesh, whose touch spoils your food.  The terrible smell it exudes is also very hard to get rid of...	Большая груда гниющей плоти, прикосновение которой портит вашу пищу. От ее ужасного запаха тоже трудно избавиться...
550	Giant tan bat	желто-коричнев$AFT летуч$AFM мыш$N3	A giant bat, the beating of whose wings produces a strangely unnerving noise.	Большая летучая мышь, от звука взмаха крыльев которой вам становится не по себе.
551	Giant silver ant	больш$AMN серебрян$AMT мурав^ь*е*й$N2E	A giant silver ant with a caustic bite.	Большой серебряный муравей с кислотным укусом.
552	Giant brown tick	гигантск$AMM коричнев$AMT клещ$N2C	It is moving slowly towards you.	Он медленно ползет к вам.
553	Disenchanter bat	раззачаровывающ$AFM летуч$AFM мыш$N3	A giant bat which feeds on raw magical energy.	Гигантская летучая мышь, питающаяся магической энергией.
554	Shimmering mold	мерцающ$AFM плесен$N3	It is a strange growth on the dungeon floor, glowing and crackling with sparks.	Странный нарост на полу, светящийся и трещащий от искр.
555	Wyvern	виверн$N2A	A fast-moving and deadly draconian animal.  Beware its poisonous sting!	Быстрое и смертельное драконоподобное существо. Остерегайтесь его ядовитого жала!
556	Chest mimic	имитаци$N1N сундука	A strange creature that disguises itself as a chest to lure unsuspecting adventurers within reach of its venomous claws.  The first that most adventurers realise of the deception is when the seemingly invitingly open lid of the chest suddenly grows teeth and then slams shut on the adventurer`s hand...	Странное существо, маскирующееся сундуком, чтобы заманить ничего не подозревающего путника к своим ядовитым когтям. Большинство догадываются об обмане только, когда на открытой крышке сундука вырастают зубы, и она захлопывается, откусывая протянутую в сундук руку...
557	Demilich	демилич$N2C	A lich who is partially immaterial, on its way to a new, ethereal form.	Частично нематериальный лич, на пути к своей новой, эфирной форме.
558	Archlich	архилич$N2C	A lich who has reached its ultimate evolutionary stage:  a completely immaterial state.	Лич, достигший цели своей эволюции - полностью астрального состояния.
559	Crow	ворон$N1T	It is a hooded crow, gray except for the black wings and head.	Серая птица, за исключением черных крыльев и головы.
560	Raven	ворон$N2A	Larger than a crow, and pitch black.	Больше вороны, и чернее по оттенку перьев.
561	Craban	больш$AFM ворон$N1T	A type of crow, specially bred by the forces of evil as spies; their rudimentary intelligence guided by an evil mind has tracked you down, and now they seek to alert other evil creatures to your presence.	Ворона, выведенная силами зла как шпион. Их рудиментарный интеллект, направляемый злым разумом, выследил вас, и они пытаются оповестить. других злых существ о вашем присутствии.
562	Winged Horror	Крылат$AMT Ужас$N2A	A terrifying sight:  a winged creature greater than any bird you have ever seen, and with no feathers on its horrid black leathery wings.  Descended from a creature of an older world perhaps, bred by Sauron to be a winged steed for his Ringwraiths.	Ужасное зрелище: крылатое существо больше любой птицы и без перьев на его мерзких черных крыльях. Они выведены Сауронов как крылатые кони для его Кольценосцев.
563	Cave bear	пещерн$AMT медвед*ь$N2E	A large bear appears to have made its home in this cave.  It is hungry, and you are trespassing in its territory.	Большой медведь устроил себе дом в этой пещере. Он голоден, а вы посягаете на его территорию.
564	Grizzly bear	медвед*ь$N2E гризли	A huge, beastly bear, more savage than most of its kind.	Большой свирепый медведь, один из более диких из своего рода.
565	Werebear	медвед*ь$N2E-оборот*ен*ь$N2E	In the eyes of this bear, there glimmers the faintest light of intelligence. And then its form begins to change... The combination of animal cunning, human intelligence and the great physical strength of the bear makes for a dangerous enemy.	В глазах этого медведя виден лишь слабый проблеск разума - пока его форма не начинает меняться... Комбинация животной хитрости, человеческого ума и медвежьей силы делают его опасным врагом.
566	Beorn, the Shape-Changer	Беорн$N2A	Beorn is only occasionally seen in human form these days, preferring to appear in the shape of a giant black bear:  he also prefers the company of beasts to that of humans.  He has never taken kindly to strangers, even in human form - and still less when in bear`s shape, as he is now.	Беорн редко появляется в форме человека в эти дни, предпочитая обличие большого черного медведя; он также предпочитает компанию зверей людям. Он никогда не относился к странникам хорошо, даже в форме человека - и тем более в форме медведя, как сейчас.
567	Barbazu	Барбазу	A foul, humanoid creature with a long tail, clawed hands and feet, and a disgusting, wiry, snaky beard.  They are the elite shock troops of the hells, capable of a terrifying berserk fury.	Уродливое гуманоидное существо с большим хвостом, острыми когтями и отвратительной, волосатой, змеистой бородой. Они - элитные бойцы ада, способные приходить в устрашающую ярость.
568	Bile Demon	Желчн$AMT Демон$N2A	It`s big.  It`s fat.  It`s red.  It`s ugly.  It`s got a severe attack of highly poisonous flatulence.  And its insides are corrosive.  All of which go together to make the single most repulsive sight - and smell - you have ever experienced.	Он большой. Он толстый. Он красный. Он уродливый. Его атаки крайне ядовиты, а внутренности - кислотны. Все это составляет наиболее отталкивающее зрелище - и запах - из всего, что вам доводилось видеть.
569	Osyluth	Осилут$N2A	It is a demon made almost entirely out of bones.  It is humanoid, but with a large tail similar to that of a giant scorpion, and emits a foul smell of decay and rot.  They are despised even in the hells.	Это демон, состоящий почти целиком из костей. Его фигура похожа на человеческую, но с большим хвостом, как у скорпионов. Он источает запах распада и гниения. Осилутов презирают даже в аду.
570	Gelugon	Гелугон$N2A	This demon from the ice planes is a truly terrifying sight.  It has an extremely large, insect-like body towering a full twelve feet tall, with great claws on its hands and pincers on its mouth, and its head bulges with great multi-faceted eyes.  Its tail is covered with razor-sharp spikes.	Этот демон с ледяных кругов ада является устрашающим зрелищем. У него очень большое насекомоподобное тело, возвышающееся на полные двенадцать футов, с большими клешнями на руках и перед ртом. На его голове вздуваются огромные фасеточные глаза. Его хвост покрыт шипами острее бритвы.
571	Horned Reaper	Рогат$AMT Жнец$N2A	A giant humanoid demon wielding a massive, heavy and sharp scythe.  Feared by foes and friends alike when it flies into one of its berserk rages, the Horned Reaper will cut down anything in its path between it and you - even the minions it has just summoned.	Гигантский гуманоид, держащий большую, тяжелую и острую косу. И друзья, и враги страшатся его, когда он впадает в ярость боя. Рогатый Жнец уничтожит все, стоящее на пути между вами и им - даже своих сородичей, которых он только что вызвал.
572	Pit Fiend	Демон$N2A Преисподней	Appearing as a giant, clawed and winged humanoid with a scaly red body and massive fangs dripping a foul green liquid, the Pit Fiend is a dreadful enemy from the lowest depths of the hells.  They are often the commanders of vast demon armies.	Появляющийся как гигантский когтистый крылатый гуманоид с чешуйчатым красным телом и массивными клыками, с которых капает ядовито-зеленая жидкость, Демон Преисподней - ужасный враг с низших кругов ада. Он часто появляется как командир обширной армии демонов.
573	Greater Balrog	больш$AMN Балрог$N2A	Originally of the semi-divine Maiar, this evil spirit swore allegiance to Morgoth at the beginning of time and is now one of his most terrible demonic servants.  With its flaming whip and sword it seeks to destroy you.	Бывший когда-то одним из полубожественных Майар, этот злой дух поклялся в верности Морготу в начале времен, и является сейчас одним из его самых ужасных демонов. Своим огненным хлыстом и клинком он уничтожит вас. `И Мелькор собрал возле себя в Утумис своих демонов, тех духов, что первыми присягнули ему в верности в дни его великолепия и стали больше других схожи с ним в его падении. Сердца их пылали огнем, но мрак был их облачением и ужас предшествовал им, и огненные бичи служили им оружием. В позднейшие дни Средиземья их называли Балрогами.`
574	Baby bronze dragon	маленьк$AMM бронзов$AMT дракон$N2A	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales a dull bronze.	Этот едва вылупившийся дракон еще мал, его глаза неприспособлены к свету, а чешуйки отливают тускло-бронзовым. Он смотрит на вас с большим любопытством. Может быть, он хочет всего лишь поиграть?
575	Baby gold dragon	маленьк$AMM золот$AMU дракон$N2A	This hatchling dragon is still soft, its eyes unaccustomed to light and its scales a pale gold.	Этот едва вылупившийся дракон еще мал, его глаза неприспособлены к свету, а чешуйки отливают тускло-бронзовым. Он смотрит на вас с большим любопытством. Может быть, он хочет всего лишь поиграть?
576	Great Swamp Wyrm	Велик$AMM Болотн$AMT Зме*й$N2E	A truly enormous dragon with great powers.  The foul gases issuing from the beast nearly make you vomit; and while you may try to hold your breath as you fight it, it sees no reason to do likewise.	Воистину огромный дракон. Из-за ядовитых газов, исходящих от него, тошнота подкатывает вам к горлу; и хотя вы пытаетесь задерживать дыхание, сражаясь с ним, он не видит причин поступать так же.
577	Great Wyrm of Perplexity	Велик$AMM Зме*й$N2E Смущения	A dragon of great size and power.  Its polished bronze scales reflect the light in strange and confusing patterns, and you find it hard to keep your mind on the job of fighting for your life.	Дракон великих размеров и мощи. Его полированная бронзовая чешуя отражает свет странными узорами, и вам становится трудно удержать себя на сражении за свою жизнь.
578	Great Bile Wyrm	Велик$AMM Желчн$AMT Зме*й$N2E	A huge and very powerful dragon.  Great steaming pools of acid drip from its form onto the ground.  You shudder when you see the acid eating away the very stones of the dungeon - what could it do to you?	Огромный мощный дракон. Большие лужи кислоты капают с него на землю. Вы покрываетесь испариной при виде кислоты, разъедающей сами камни подземеля - что же она сделает с вами?
579	Great Wyrm of Thunder	Велик$AMM Зме*й$N2E Грома	A dragon of gigantic proportions, with destructive abilities to match.  The sheer loudness of its roar leaves you stunned and unable to think clearly enough to defend yourself adequately.	Дракон гигантских пропорций. Ужасная громкость его рева оглушает вас, и вы не можете думать достаточно ясно, чтобы защитить себя адекватно.
580	Ranger	следопыт$N2A	A warrior who is at one with nature.  A master of both bow and sword, with minor spellcasting skills, and animals come to do his bidding.	Воин ``на ты`` с природой. Мастер лука и меча, с некоторыми навыками колдовства, и животными, готовыми прийти ему на помощь.
581	Paladin	паладин$N2A	A warrior for a holy cause.  Unfortunately, his god is not yours, and there is rivalry even between the various gods of Good, so he is your enemy.	Воин, сражающийся за свои святыни. К сожалению, его бог не является вашим, и даже между хорошими богами нет особой дружбы, так что он - ваш враг.
582	Ranger Chieftain	вожд*ь$N2E следопытов	A chieftain among the Rangers.  His understanding of nature gives him powerful elemental spells to use against you, in addition to his skills as an archer and a warrior.  Furthermore, he is a master of camouflage, so you will need magically enhanced seeing to spot him.	Вождь среди следопытов. Его понимание природы дает ему мощные заклинания элементов для использования против вас, вдобавок к его навыкак как лучника и воина. Более того, он мастер маскировки, и вы не сможете разглядеть его обычным зрением.
583	Berserker	Берсеркер$N2A	Even the strongest of normal human warriors fears the Berserker - the one who can drive himself into such a terrible battle-frenzy that he can survive blows which should kill him, and still apparently feel no pain.  He tramples weaker creatures underfoot in his eagerness to get to his real enemy, and his battle-cry strikes terror into his foes.	Даже сильнейший из обычных воинов-людей боится Берсеркера - того, кто может входить в настолько ужасное неистовство, что он может пережить удары, убившие бы его, и не чувствовать боли. Он давит слабых существ под ногами в своем нетерпении добраться до своего настоящего врага, и его боевой клич вселяет ужас в его недругов.
584	Cyclops	циклоп$N2A	A gigantic ugly humanoid with but one eye and very thick skin.	Гигантский уродливый человек со всего одним глазом и толстой кожей.
585	Polyphemus, the Blind Cyclops	Полифем$N2A, Слеп$AMU Циклоп$N2A	No ordinary cyclops, but the son of a sea-god:  he wields the powers of elemental water as well as the considerable strength of a cyclops.  His one eye was blinded long ago by the warrior Odysseus, but he has trained himself to hear so well that it nearly makes up for his disability.	Не простой циклоп, но сын бога морей. Он обладает властью над элементом воды, так же, как и огромной силой циклопа. Его единственный глаз был ослеплен много лет назад Одиссеем, но он научился слышать так хорошо, что почти справляется со своим недостатком.
586	Atlas, the Titan	Атлас$N2A, Титан$N2A	The strongest of all the Titans.  Legend has it that he used to hold the sky on his shoulders; and the mountain range that now does so is named after him.	Сильнейший из Титанов. Легенда гласит, что он держал небо на своих плечах; горная цепь, которая делает это сейчас, названа в честь него.
587	Kronos, Lord of the Titans	Кронос$N2A, Повелител*ь$N2E Титанов	The lord of the Titans, he has broken loose from his confinement in the nether hells to seek revenge on the world.	Повелитель Титанов, он вырвался из оков заключения в низших адах, чтобы искать мести в нашем мире.
588	Evil eye	зл$AMU глаз$N2A	A huge disembodied eye.  As you stare into the black nothingness of its pupil, you feel your will and vitality draining away, and are unable to do anything except approach it in horrified fascination.	Огромный бестелесный глаз. Когда вы заглядываете в черную пустоту его зрачка, вы чувствуете сильное подавление воли, и вы не можете делать ничего, кроме как завороженно брести к нему.
589	Spectator	наблюдател*ь$N2E	A lesser relative of the beholder:  a globular body with a large toothy mouth, a large central eye, and four smaller eyes on stalks protruding from the top of its body.	Мелкая разновидность созерцателя: круглое тело с большим зубастым ртом, большим глазом, и четырьмя меньшими глазами на ножках сверху.
590	Gauth	гаут$N2A	Another lesser relative of the beholder, this six-eyed creature feeds on magic.	Другой родственник созерцателей. Это шестиглазое существо питается магией.
591	Beholder hive-mother	матк$N1M созерцателей	A hive mother of the race of beholders, she can summon her brood to her aid whenever she wishes.	Матка из улья созерцателей, она может вызывать свой выводок для помощи себе.
592	Neekerbreeker	кровопрос*ец$N2B	Believed to be an evil relative of the cricket, this creature gets its name from its incessant squeaking, which can best be described as ``neek-breek, neek-breek``.  The noise can drive people frantic, and worse still, can be heard for quite some distance, alerting other monsters to your presence.	Этот болотный москит получил название из-за своего громкого писка, звучащего как ``Крровочки! Крровочки!``. Эти звуки раздражают путников; более того, они слышны на большом расстоянии, и оповещают монстров о вашем присутствии.
593	Giant firefly	гигантск$AMM светляк$N2A	Clouds of these monsters light up the dungeon - so brightly that you can barely see through them.	Скопления этих насекомых освещают подземелье - так ярко, что вы не можете ничего разглядеть.
594	Eöl, the Dark Elf	Эол$N2A Темн$AMT Эльф$N2A	A lord of the Teleri, Eol is a mighty metalsmith, the only one to ever forge weapons of meteorite iron.  The mortal enemy of the Eldar, he is currently fleeing their wrath, following the murder of Princess Aredhel of Gondolin.	Повелитель Телери, Эол - великий кузнец, единственный, ковавший оружие из стали метеоритов. Смертный враг Эльдаров, он скрывается от их гнева, вызванного убийством Принцессы Аредели из Гондолина.
