Original text	Translation
"v:Vortex"	"v:Вихрь"
"wails at you."	"воет на вас."
"wail"	"выть"
"Wands"	"Палочки"
"& # Wand~"	"& # палоч|ек$N1M"
"Warning! Could not allocate a new monster."	"Невозможно создать нового монстра."
"Warning"	"Информация"
"was"	"был"
"water"	"воде"
"Weak  "	"Ослаб "
"weak"	"слабым"
"Weapons"	"Оружие"
"wearing around your neck"	"носите на шее:"
"wearing on your arm"	"носите на руке:"
"wearing on your back"	"носите на спине:"
"wearing on your body"	"носите на теле:"
"wearing on your feet"	"носите на ногах:"
"wearing on your hands"	"носите на руках:"
"wearing on your head"	"носите на голове:"
"wearing on your left hand"	"носите на левой руке:"
"wearing on your right hand"	"носите на правой руке:"
"Wear/Wield which item? "	"Надеть/взять в руки какой предмет? "
"Weight"	"Вес"
"Welcome to level %d."	"Добро пожаловать на уровень %d."
"were"	"были"
" west"	"З"
"What a boring place..."	"Какое скучное место..."
"What do you offer? [accept] "	"Сколько предлагаете? [принять] "
"What price do you ask? "	"Сколько просите? "
"When running, cut corners"	"При беге срезать углы"
"When running, ignore doors"	"При беге пробегать двери"
"When running, ignore stairs"	"При беге пробегать лестницы"
"When running, use corners"	"При беге использовать углы"
"Which item are you interested in? "	"Что вы хотели бы приобрести? "
"Which item do you want to examine? "	"Что вы хотите исследовать? "
"Which item do you want to take? "	"Что вы хотите взять? "
" which "	", которые "
"White"	"Белый"
", who %s unavenged.  "	", остающегося неотмщенным.  "
"Wielding"	"В руках"
"Window flags (<dir> to move, 't' to toggle, or ESC)"	"Флаги окна (<стрелки> для движения, 't' для переключения, или ESC)"
"***WINNER***"	"*ПОБЕДИТЕЛЬ*"
"wisdom"	"мудрость"
"wise"	"мудрым"
"Wis: "	"Муд: "
"WIS: "	"МУД: "
" with damage"	" с уроном"
" (with "	" (с "
"Wizard mode off."	"Режим волшебника выключен."
"Wizard mode on."	"Режим волшебника включен."
"[=-WIZARD-=]"	"[=-ВОЛШЕБ-=]"
"Wonder"	"Чудо"
"Word of Destruction"	"Слово Разрушения"
"word of recall"	"Слова Возвращения"
"Word of Recall"	"Слово Возвращения"
"worthless"	"бесполезный"
"wounded"	"ранен%s"
"W:Wight/Wraith/etc"	"W:Умертвие/Призрак и др."
"(W) Window flags"	"(W) Флаги окон"
"w:Worm/Worm-Mass"	"w:Черви"
" x) eXamine an item."	" x) Исследовать предмет"
"X:Xorn/Xaren/etc"	"X:Хорн/Харен и др."
"Yellow"	"Желтый"
"yes"	"да "
"Yipee!"	"Продавец дико хохочет!"
"You activate it..."	"Вы активируете его..."
"You aggravate monsters."	"Вы привлекаете монстров."
"You are about to enter 'wizard' mode for the very first time!"	"Вы собираетесь войти в режим волшебника в первый раз!"
"You are about to use the dangerous, unsupported, borg commands!"	"Вы собираетесь использовать специальные команды борга!"
"You are about to use the dangerous, unsupported, debug commands!"	"Вы собираетесь использовать специальные отладочные команды!"
"You are bashed by rubble!"	"Вы завалены камнями!"
"You are bleeding."	"Вы истекаете кровью."
"You are blind!"	"Вы ослепли!"
"You are carrying: -more-"	"Вы несете: -далее-"
"You are completely fearless."	"Вы полностью бесстрашны."
"You are completely immune to acid."	"У вас есть полный иммунитет к кислоте."
"You are completely immune to cold."	"У вас есть полный иммунитет к холоду."
"You are completely immune to fire."	"У вас есть полный иммунитет к огню."
"You are completely immune to lightning."	"У вас есть полный иммунитет к молнии."
"You are confused!"	"Вы контужены!"
"You are confused."	"Вы контужены."
"You are covered in acid!"	"Вы покрыты кислотой!"
"You are covered with frost!"	"Вас покрывает иней!"
"You are crushed between the floor and ceiling!"	"Вы придавлены между полом и потолком!"
"You are engulfed in a whirlpool."	"Вы попали в водоворот."
"You are enveloped in a cloud of smoke!"	"Вас обволакивает облако дыма!"
"You are enveloped in flames!"	"Вас обволакивают языки пламени!"
"You are full!"	"Вы наелись!"
"You are getting faint from hunger!"	"Вы начинаете падать от голода!"
"You are getting hungry."	"Вы проголодались."
"You are getting weak from hunger!"	"Вы ослабеваете от голода!"
"You are glowing with light."	"Вы светитесь."
"You are hallucinating."	"Вы галлюцинируете."
"You are hit by acid!"	"В вас попали кислотой!"
"You are hit by cold!"	"В вас попали холодом!"
"You are hit by fire!"	"В вас попали огнем!"
"You are hit by lightning!"	"В вас попали молнией!"
"You are hit by poison!"	"В вас попали ядом!"
"You are hit by something sharp!"	"В вас попали чем-то острым!"
"You are hit by something strange!"	"В вас попали чем-то странным!"
"You are hit by something!"	"В вас чем-то попали!"
"You are impaled on poisonous spikes!"	"Вы поранились на отравленных шипах!"
"You are impaled!"	"Вы поранились на шипах!"
"You are in a battle rage."	"Вы в ярости боя."
"You are looking around very carefully."	"Вы смотрите вокруг очень тщательно."
"You are no longer bleeding."	"Вы больше не истекаете кровью."
"You are no longer full."	"Вы больше не чувствуете себя сытым."
"You are no longer gorged."	"Лишняя еда вышла."
"You are no longer hungry."	"Вы больше не голодны."
"You are no longer poisoned."	"Вы больше не отравлены."
"You are no longer stunned."	"Вы больше не оглушены."
"You are not allowed to do that!"	"Нельзя отключить это окно!"
"You are not wearing anything to take off."	"Вам нечего снимать с себя."
"You are not wielding a light."	"Вы не несете источника света."
"You are off-balance."	"У вас заболела голова!"
"You are paralyzed!"	"Вы парализованы!"
"You are playing %s %s.  Type '?' for more info."	"Вы играете в %s версии %s.  Введите '?' для дальнейшей информации."
"You are poisoned!"	"Вы отравлены!"
"You are poisoned."	"Вы отравлены."
"You are protected by a mystic shield."	"Вы защищены магическим щитом."
"You are protected from evil."	"Вы защищены от зла."
"You are pummeled with debris!"	"Вы осыпаны обломками!"
"You are resistant to acid."	"Вы сопротивляетесь кислоте."
"You are resistant to blasts of shards."	"Вы сопротивляетесь взрывам осколков."
"You are resistant to bright light."	"Вы сопротивляетесь яркому свету."
"You are resistant to chaos."	"Вы сопротивляетесь хаосу."
"You are resistant to cold."	"Вы сопротивляетесь холоду."
"You are resistant to confusion."	"Вы сопротивляетесь контузии."
"You are resistant to darkness."	"Вы сопротивляетесь темноте."
"You are resistant to disenchantment."	"Вы сопротивляетесь антимагии."
"You are resistant to fire."	"Вы сопротивляетесь огню."
"You are resistant to lightning."	"Вы сопротивляетесь молнии."
"You are resistant to nether forces."	"Вы сопротивляетесь могильным силам."
"You are resistant to nexus attacks."	"Вы сопротивляетесь пространственным атакам."
"You are resistant to poison."	"Вы сопротивляетесь яду."
"You are resistant to sonic attacks."	"Вы сопротивляетесь звуковым атакам."
"You are severely crushed!"	"Вас сильно придавило!"
"You are shooting with"	"Вы стреляете"
"You are splashed with acid!"	"Вы обрызганы кислотой!"
"You are still hungry."	"Вы все еще голодны."
"You are still weak."	"Вы все еще слабы."
"You are struck by electricity!"	"Вас ударило током!"
"You are stunned."	"Вы оглушены."
"You are surrounded by a black gas!"	"Вы окружены облаком черного газа!"
"You are surrounded by a gas of scintillating colors!"	"Вы окружены облаком газа странных цветов!"
"You are surrounded by a malignant aura."	"Вы окружены темной аурой."
"You are surrounded by a powerful aura."	"Вы окружены мощной аурой."
"You are surrounded by a pungent green gas!"	"Вы окружены облаком зеленого газа!"
"You are surrounded by a strange white mist!"	"Вы окружены странным облаком белого тумана!"
"You are surrounded by a white light."	"Вы окружены белым светом."
"You are temporarily invulnerable."	"Вы временно неуязвимы."
"You are terrified!"	"Вы напуганы!"
"You are terrified."	"Вы напуганы."
"You are too afraid to attack %s!"	"Вы боитесь атаковать %s!"
"You are too confused!"	"Вы контужены!"
"You are unaffected!"	"Вы не воздействованы!"
"You are using: -more-"	"Вы используете: -далее-"
"You are wearing"	"Вы одели"
"You are wielding"	"Вы сражаетесь"
"You are "	"Вы видите "
"You bastard!"	"Продавец едва сдерживает гнев!"
"You begin to feel more enlightened..."	"Вы чувствуете себя просвещенным..."
"You begin to know yourself a little better..."	"Вы познаете себя немного лучше..."
"You bought %s (%c) for %ld gold."	"Вы купили %s (%c) за %ld золотых."
"You breathe acid."	"Вы дышите кислотой."
"You breathe confusion."	"Вы дышите контузией."
"You breathe fire."	"Вы дышите огнем."
"You breathe frost."	"Вы дышите холодом."
"You breathe lightning."	"Вы дышите молнией."
"You breathe poison gas."	"Вы дышите ядовитым газом."
"You breathe sound."	"Вы дышите звуком."
"You breathe %s."	"Вы дышите %s."
"You breathe the elements."	"Вы дышите элементами."
"You can learn %d more %s%s."	"Вы можете выучить %d %s."
"You can learn some spells/prayers."	"Вы можете учить новые заклинания или молитвы."
"You can move again."	"Вы снова можете двигаться."
"You cannot carry that many items."	"Вы не сможете нести столько предметов."
"You cannot cast spells!"	"Вы не умеете колдовать!"
"You cannot destroy %s."	"Вы не можете уничтожить %s."
"You cannot do that yet..."	"Подождите..."
"You cannot learn any new %ss!"	"Вы не можете учить новые %s!"
"You cannot learn any %ss in that book."	"Вы не можете учить %s из этой книги."
"You cannot read books!"	"Вы не умеете читать!"
"You cannot see!"	"Вы ничего не видите!"
"You cannot see."	"Вы ничего не видите."
"You can see again."	"Вы снова видите."
"You can see clearly again."	"Вы снова можете ясно видеть."
"You can see invisible creatures."	"Вы можете видеть невидимых монстров."
"You can't see anything."	"Вы ничего не видите."
"You can't start a new game while you're still playing!"	"Игра уже идет!"
"You carefully avoid touching the spikes."	"Вы не задеваете шипы."
"You combine some items in your pack."	"Вы складываете несколько предметов в рюкзаке."
"You combine the torches."	"Вы соединяете факелы."
"You'd better be kidding!"	"Мое терпение на исходе."
"You destroy %s."	"Вы уничтожили %s."
"You die."	"Вы умираете..."
"You dig in the rubble."	"Вы копаете мусор."
"You disbelieve the feeble spell."	"Вы не верите заклинанию."
"You do %d (out of %d) damage."	"Вы наносите %d (из %d) урона."
"You do not feel comfortable with your weapon."	"Вы чувствуете себя неуютно с этим оружием."
"You do not have enough gold."	"У вас не хватает золота."
"You do not have enough mana to cast this spell."	"У вас не хватает маны для этого заклинания."
"You do not have enough mana to recite this prayer."	"У вас не хватает маны для этой молитвы."
"You don't know any prayers in that book."	"Вы не знаете ни одной молитвы из этой книги."
"You don't know any spells in that book."	"Вы не знаете ни одного заклинания из этой книги."
"You drop %s (%c)."	"Вы бросаете %s (%c)."
"You enter a maze of down staircases."	"Вы входите в лабиринт лестниц вниз."
"You enter a maze of up staircases."	"Вы входите в лабиринт лестниц вверх."
"You failed to activate it properly."	"У вас не получилось активировать предмет."
"You failed to concentrate hard enough!"	"У вас не получилось сконцентрироваться!"
"You failed to disarm the chest."	"У вас не получилось обезвредить сундук."
"You failed to disarm the %s."	"Вы не смогли обезвредить ловушку (%s)."
"You failed to get the spell off!"	"У вас не получилось заклинание!"
"You failed to pick the lock."	"Вы не смогли подобрать отмычку."
"You failed to use the rod properly."	"Вы не смогли использовать жезл."
"You failed to use the staff properly."	"Вам не удалось использовать посох."
"You failed to use the wand properly."	"Вы не смогли использовать палочку."
"You faint from the effort!"	"Вы слабеете от усилий!"
"You faint from the lack of food."	"Вы слабеете от голода."
"You fall into a pit!"	"Вы падаете в яму!"
"You fall into a spiked pit!"	"Вы падаете в яму с шипами!"
"You fall through a trap door!"	"Вы падаете в люк!"
"You feel able to move more freely."	"Вы можете двигаться более свободно."
"You feel a door blocking your way."	"Вы чувствуете дверь на пути."
"You feel a little better."	"Вы чувствуете себя немного лучше."
"You feel an intense desire to kill this monster...  "	"Вы чувствуете крайнюю необходимость в убийстве этого монстра...  "
"You feel a pile of rubble blocking your way."	"Вы чувствуете кучу мусора на пути."
"You feel as if someone is watching over you."	"Вы чувствуете, как кто-то присматривает за вами."
"You feel a sudden stirring nearby!"	"Вы слышите шум поблизости!"
"You feel a surge of power!"	"Вы чувствуете волну мощи!"
"You feel a wall blocking your way."	"Вы чувствуете стену на пути."
"You feel better."	"Вы чувствете себя лучше."
"You feel bolder now."	"Вы чувствуете себя храбрее."
"You feel comfortable with your weapon."	"Вы перестаете чувствовать себя неуютно с этим оружием."
"You feel drugged!"	"Вы галлюцинируете!"
"You feel heroic."	"Вы чувствуете себя героем."
"You feel invulnerable!"	"Вы чувствуете себя неуязвимым!"
"You feel less Berserk."	"Ярость проходит."
"You feel less confused now."	"Вы больше не контужены."
"You feel less resistant to acid."	"Вы прекращаете сопротивляться кислоте."
"You feel less resistant to cold."	"Вы прекращаете сопротивляться холоду."
"You feel less resistant to electricity."	"Вы прекращаете сопротивляться молнии."
"You feel less resistant to fire."	"Вы прекращаете сопротивляться огню."
"You feel less resistant to poison."	"Вы прекращаете сопротивляться яду."
"You feel less %s."	"Вы чувствуете себя не таким %s."
"You feel less thirsty."	"Вы утолили жажду."
"You feel life flow through your body!"	"Чуство Жизни протекает в вас!"
"You feel life has clocked back."	"Ваша жизнь пошла вспять."
"You feel like a hero!"	"Вы чувствуете себя героем!"
"You feel like a killing machine!"	"Вы чувствуете себя машиной убийства!"
"You feel more comfortable after removing your weapon."	"Вы перестаете чувствовать себя неуютно, отложив оружие."
"You feel more experienced."	"Вы чувствуете себя более опытным."
"You feel much better."	"Вы чувствуете себя намного лучше."
"You feel relieved to put down your heavy bow."	"Вы с облегчением отложили ваш тяжелый арбалет."
"You feel relieved to put down your heavy weapon."	"Вы с облегчением отложили ваше тяжелое оружие."
"You feel resistant to acid!"	"Вы начинаете сопротивляться кислоте!"
"You feel resistant to cold!"	"Вы начинаете сопротивляться холоду!"
"You feel resistant to electricity!"	"Вы начинаете сопротивляться молнии!"
"You feel resistant to fire!"	"Вы начинаете сопротивляться огню!"
"You feel resistant to poison!"	"Вы начинаете сопротивляться яду!"
"You feel righteous!"	"Вы чувствуете себя правым!"
"You feel righteous."	"Вы чувствуете себя правым."
"You feel safe from evil!"	"Вы чувствуете себя защищенным от зла!"
"You feel something focusing on your mind."	"Вы чувствуете, как что-то фокусируется на вас."
"You feel something roll beneath your feet."	"Что-то катится вам под ноги."
"You feel strangely lucky..."	"У вас неплохое предчувствие..."
"You feel there is something special about this level."	"Вы чувствуете, что в этом уровне есть что-то необычное."
"You feel the %s (%c) in your pack %s %s..."	"Вы чувствуете, что ваш предмет %^s (%c) в рюкзаке %s..."
"You feel the %s (%c) you are %s %s %s..."	"Вы чувствуете, что ваш предмет %^s (%c) %s..."
"You feel very good."	"Вы чувствуете себя очень хорошо."
"You feel very %s for a moment, but the feeling passes."	"Вы чувствуете себя очень %s, но чувство проходит."
"You feel very %s!"	"Вы чувствуете себя очень %s!"
"You feel very %s."	"Вы чувствуете себя очень %s."
"You feel vulnerable once more."	"Вы снова уязвимы."
"You feel your life draining away!"	"Ваша жизнь высасывается из вас!"
"You feel your life energies returning."	"Вы чувствуете, как жизнь возвращается к вам."
"You feel your life slipping away!"	"Ваша жизнь вытягивается из вас!"
"You feel your luck is turning..."	"У вас приличное предчувствие..."
"You feel your memories fade."	"Ваша жизнь меркнет."
"You feel yourself moving faster!"	"Вы начинаете двигаться быстрее!"
"You feel yourself moving slower!"	"Вы начинаете двигаться медленнее!"
"You feel yourself slow down."	"Вы снова замедлились."
"You feel yourself speed up."	"Вы снова ускорились."
"You feel yourself yanked downwards!"	"Вы перемещаетесь вниз!"
"You feel yourself yanked upwards!"	"Вы перемещаетесь наверх!"
"You fiend!"	"Продавец бормочет ругательства."
"You float gently down to the next level."	"Вы плавно опускаетесь на следующий уровень."
"You float gently to the bottom of the pit."	"Вы плавно опускаетесь на дно ямы."
"You float gently to the floor of the pit."	"Вы плавно опускаетесь на дно ямы."
"You found a trap!"	"Вы попали в ловушку!"
"You fuel your lamp."	"Вы заправляете свою лампу."
"You grab hold of your backpack!"	"Вы быстро закрываете свою рюкзак!"
"You have a firm hold on your life force."	"Вы крепко держитесь за свою жизнь."
"You have a good feeling..."	"У вас хорошее предчувствие..."
"You have an excellent feeling..."	"У вас отличное предчувствие..."
"You have a superb feeling about this level."	"У вас превосходное предчувствие об этом уровне."
"You have a very good feeling..."	"У вас очень хорошее предчувствие..."
"You have been given a bad cut."	"Вы получили среднее ранение."
"You have been given a deep gash."	"Вы получили глубокие раны."
"You have been given a graze."	"Вы получили царапину."
"You have been given a light cut."	"Вы получили легкое ранение."
"You have been given a mortal wound."	"Вы получили смертельные раны."
"You have been given a nasty cut."	"Вы получили тяжелое ранение."
"You have been given a severe cut."	"Вы получили страшное ранение."
"You have been heavily stunned."	"Вы сильно оглушены."
"You have been knocked out."	"Вы потеряли сознание."
"You have been stunned."	"Вы оглушены."
"You have damaged your health!"	"Вы повредили свое здоровье!"
"You have %d charge%s remaining."	"Осталось зарядов: %d."
"You have destroyed %s."	"Вы уничтожили %s."
"You have disarmed the chest."	"Вы обезвредили ловушки сундука."
"You have disarmed the %s."	"Вы обезвредили ловушку (%s)."
"You have discovered a trap on the chest!"	"Вы нашли ловушку на сундуке!"
"You have ESP."	"Вы обладаете телепатией."
"You have finished the tunnel."	"Вы выкопали туннель."
"You have forgotten the %s of %s."	"Вы забыли %s - %s."
"You have found a secret door."	"Вы нашли скрытую дверь."
"You have found a trap."	"Вы нашли ловушку."
"You have found %ld gold pieces worth of %s."	"Вы нашли %s на общую сумму %ld золота."
"You have found something!"	"Вы что-то нашли!"
"You have free action."	"Вы обладаете иммунитетом к параличу."
"You have gorged yourself!"	"Вы объелись!"
"You have killed at least %d of these creatures.  "	"Вы убили не менее %d таких существ.  "
"You have killed %s."	"Вы убили %s."
"You have learned the %s of %s."	"Вы выучили %s - %s."
"You have no bolts to brand."	"У вас нет болтов для пометки."
"You have no books that you can read."	"У вас нет подходящих книг."
"You have no extra torches."	"У вас нет лишних факелов."
"You have no light to read by."	"У вас нет света для чтения."
"You have no potions to quaff."	"Вам нечего выпивать."
"You have no prayer books!"	"У вас нет подходящих книг!"
"You have no rod to zap."	"У вас нет жезлов."
"You have no room for any of the objects on the floor."	"У вас нет места для предметов на полу."
"You have no room for %s."	"У вас нет места для %s."
"You have no scrolls to read."	"У вас нет свитков для чтения."
"You have no sources of oil."	"У вас нет источников масла."
"You have no spell books!"	"У вас нет подходящих книг!"
"You have no spikes!"	"У вас нет шипов!"
"You have no staff to use."	"У вас нет посохов для использования."
"You have nothing that I want."	"У вас нет ничего подходящего для меня."
"You have nothing to activate."	"Вам нечего активировать."
"You have nothing to brand."	"У вас нет амуниции для пометки."
"You have nothing to destroy."	"Вам нечего уничтожать."
"You have nothing to drop."	"Вам нечего бросать."
"You have nothing to eat."	"У вас нет ничего съедобного."
"You have nothing to examine."	"Вам нечего изучать."
"You have nothing to fire with."	"Вам не из чего стрелять."
"You have nothing to fire."	"Вам нечем стрелять."
"You have nothing to identify."	"Вам нечего идентифицировать."
"You have nothing to inscribe."	"Вам нечего надписывать."
"You have nothing to recharge."	"Вам нечего перезаряжать."
"You have nothing to throw."	"Вам нечего бросать."
"You have nothing to un-inscribe."	"Вам неоткуда стирать надписи."
"You have nothing you can wear or wield."	"У вас нет ничего, что можно надеть или взять в руки."
"You have no trouble wielding your bow."	"Вам больше не трудно поднимать арбалет."
"You have no trouble wielding your weapon."	"Вам больше не трудно поднимать оружие."
"You have no wand to aim."	"У вас нет палочек."
"You have picked the lock."	"Вы подобрали отмычку."
"You have remembered the %s of %s."	"Вы вспомнили %s - %s."
"You have removed the rubble."	"Вы раскидали мусор."
"You have %s (%c)."	"У вас: %s (%c)."
"You have slain %s."	"Вы убили %s."
"You have slain this foe.  "	"Вы уничтожили этого врага.  "
"You have trouble wielding such a heavy bow."	"Вам трудно поднять такой тяжелый арбалет."
"You have trouble wielding such a heavy weapon."	"Вам трудно поднимать такое тяжелое оружие."
"You have won the game!"	"Вы выиграли игру!"
"You hear a door burst open!"	"Вы слышите звук вышибаемой двери!"
"You hear a sudden stirring in the distance!"	"Вы слышите шум вдали!"
"You hear many creepy things appear nearby."	"Вы слышите, как вблизи появляется много страшных существ."
"You hear many evil things appear nearby."	"Вы слышите, как вблизи появляется много злых существ."
"You hear many powerful things appear nearby."	"Вы слышите, как вблизи появляется много мощных существ."
"You hear many things appear nearby."	"Вы слышите, как вблизи появляется много существ."
"You hear someone sobbing..."	"Продавец рвет и мечет!"
"You hear something appear nearby."	"Вы слышите, как что-то появляется вблизи."
"You hear something grunt with exertion."	"Вы слышите громкое пыхтенье."
"You hit a teleport trap!"	"Вы попали в телепортационную ловушку!"
"You hit %s."	"Вы бьете %s."
"You instantly agree upon the price."	"Вы сразу же соглашаетесь с ценой."
"You invoke wizard mode and cheat death."	"Вы вызываете режим волшебника и обманываете смерть!"
"You jam the door with a spike."	"Вы заклиниваете дверь шипом."
"You keep hold of your life force!"	"Вы сопротивляетесь вытягиванию жизни!"
"You land gently."	"Вы приземляетесь мягко."
"You like the look of this place..."	"Вам нравится это место..."
"You may not do that right now."	"Сейчас это сделать нельзя."
"You may not %s that %s."	"Вы не можете колдовать это заклинание."
"You may retire (commit suicide) when you are ready."	"Вы можете прекратить (убить себя), когда будете готовы."
"You may: "	"Вы можете: "
"You miss %s."	"Вы не попали в %s."
"You nimbly dodge the blast!"	"Вы уворачиваетесь от камней!"
"You no longer feel safe from evil."	"Вы больше не чувствуете себя защищенным от зла."
"You no longer have the %s (%c)."	"У вас больше нет %s (%c)."
"You quickly agree upon the price."	"Вы быстро соглашаетесь с ценой."
"You quickly protect your money pouch!"	"Вы быстро закрываете кошелек рукой!"
"Your ancestors have killed at least %d of these creatures.  "	"Ваши предшественники убили не менее %d таких существ.  "
"Your appetite is small."	"У вас плохой аппетит."
"Your attack speed is affected by your equipment."	"На вашу скорость атаки воздействуют надетые на вас вещи."
"     Your Attributes:"	"     Ваши атрибуты:"
"Your body starts to scramble..."	"Ваше тело начинает меняться..."
"Your charisma is affected by your equipment."	"На ваше обаяние воздействуют надетые на вас вещи."
"Your charisma is sustained."	"Ваше обаяние не может быть снижено."
"Your 'class' determines various intrinsic abilities and bonuses."	"Ваш класс определяет ваши способности и бонусы."
"Your constitution is affected by your equipment."	"На ваше телосложение воздействуют надетые на вас вещи."
"Your constitution is sustained."	"Ваше телосложение не может быть снижена."
"Your covered hands feel unsuitable for spellcasting."	"Вы плохо колдуете в перчатках."
"Your dexterity is affected by your equipment."	"На вашу ловкость воздействуют надетые на вас вещи."
"Your dexterity is sustained."	"Ваша ловкость не может быть снижена."
"Your digging ability is affected by your equipment."	"На ваши навыки копания воздействуют надетые на вас вещи."
"You refuse to be frightened."	"Но вас так просто не запугать!"
"You regenerate quickly."	"Вы быстро регенерируете."
"You're not as powerful as you used to be..."	"Вы чувствуете себя намного менее могущественным..."
"You're not as %s as you used to be..."	"Вы чувствуете себя намного менее %s..."
"You reorder some items in your pack."	"Вы перекладываете предметы в рюкзаке."
"You resist acid exceptionally well."	"Вы сопротивляетесь кислоте исключительно хорошо."
"You resist cold exceptionally well."	"Вы сопротивляетесь холоду исключительно хорошо."
"You resist fire exceptionally well."	"Вы сопротивляетесь огню исключительно хорошо."
"You resist lightning exceptionally well."	"Вы сопротивляетесь молнии исключительно хорошо."
"You resist poison exceptionally well."	"Вы сопротивляетесь яду исключительно хорошо."
"You resist the effects!"	"Вы сопротивляетесь эффектам!"
"Your eyes are resistant to blindness."	"Ваши глаза защищены от слепоты."
"Your eyes are sensitive to infrared light."	"Ваши глаза чувствительны к инфракрасному свету."
"Your eyes begin to tingle!"	"Ваши глаза начинают светиться!"
"Your eyes feel less sensitive."	"Ваши глаза становятся менее чувствительными."
"Your eyes feel very sensitive!"	"Ваши глаза становятся очень чувствительными!"
"Your eyes stop tingling."	"Ваши глаза прекращают светиться."
"Your feel your head clear."	"Ваша голова проясняется."
"Your hands are glowing dull red."	"Ваши руки светятся бледно-красным светом."
"Your hands begin to glow."	"Ваши руки начинают светиться."
"Your hands feel more suitable for spellcasting."	"Вы начинаете колдовать лучше без перчаток."
"Your hands stop glowing."	"Ваши руки перестают светиться."
"Your home contains (page %d): -more-"	"Ваш дом содержит (стр. %d): -далее-"
"Your home is empty."	"Ваш дом пуст."
"Your home is full."	"Ваш дом полон."
"Your Home"	"Ваш Дом"
"Your infravision is affected by your equipment."	"На ваше инфракрасное зрение воздействуют надетые на вас вещи."
"Your intelligence is affected by your equipment."	"На ваш интеллект воздействуют надетые на вас вещи."
"Your intelligence is sustained."	"Ваш интеллект не может быть снижен."
"You rise up through the ceiling."	"Вы поднимаетесь через потолок."
"Your lamp is full."	"Ваша лампа полна."
"Your light cannot be refilled."	"Ваш источник света нельзя заправить."
"Your light dims."	"Свет мерцает."
"Your light has gone out!"	"У вас вышел весь свет!"
"Your light is growing faint."	"Ваш свет начинает затухать."
"Your light source is"	"Ваш источник света:"
"Your machine may crash, and your savefile may become corrupted!"	"Игра может повиснуть, и сохраненные игры могут перестать читаться!"
"Your memories fade away."	"Вы все забываете."
"Your mind is blasted by psionic energy."	"Ваш разум поврежден псионической энергией."
"Your mystic shield crumbles away."	"Ваш волшебный щит исчезает."
"Your nerves and muscles feel weak and lifeless!"	"Ваши нервы и мускулы кажутся слабыми и безжизненными!"
"Your pack is so full that you flee the store..."	"Вы выбегаете из магазина с переполненным рюкзаком..."
"Your pack is so full that you flee your home..."	"Вы выбегаете из дома с переполненным рюкзаком..."
"Your pack overflows!"	"Ваш рюкзак переполнен!"
"Your position is very uncertain."	"Ваше положение неустойчиво."
"Your purse feels lighter."	"Ваш кошелек становится легче."
"Your 'race' determines various intrinsic factors and bonuses."	"Ваша раса определяет различные возможности и бонусы."
"Your %s (%c) resist%s disenchantment!"	"Ваш%s %s (%c) сопротивля%cтся антимагии!"
"Your %s (%c) %s disenchanted!"	"Ваш%s %s (%c) был%s раззачарован%s!"
"Your searching ability is affected by your equipment."	"На ваши способности к поиску воздействуют надетые на вас вещи."
"Your 'sex' does not have any significant gameplay effects."	"Ваш пол не имеет заметных эффектов в игре."
"Your %s glows a deep red..."	"%s светится спокойным красным..."
"Your %s glows a intense blue..."	"%s светится насыщенным синим..."
"Your %s glows a pale blue..."	"%s горит бледно-синим..."
"Your %s glows black..."	"%s светится черным..."
"Your %s glows bright green..."	"%s светится ярко-зеленым..."
"Your %s glows brightly..."	"%s ярко загорается..."
"Your %s glows bright red..."	"%s светится ярко-красным..."
"Your %s glows bright white..."	"An image forms in your mind..."
"Your %s glows bright yellow..."	"%s светится ярко-желтым..."
"Your %s glows deep blue..."	"%s светится ярко-синим..."
"Your %s glows deep red..."	"%s светится огненно-красным..."
"Your %s glows extremely brightly..."	"%s ярко горит..."
"Your %s glows in anger..."	"%s горит яростью..."
"Your %s glows in scintillating colours..."	"%s светится странными цветами..."
"Your %s glows many colours..."	"%s светится всеми цветами..."
"Your %s glows soft white..."	"%s светится мягким белым..."
"Your %s glows white..."	"%s светится белым..."
"Your %s glows with the light of a thousand stars..."	"%s вспыхивает светом тысячи звезд..."
"Your %s glows yellow..."	"%s вспыхивает желтым..."
"Your %s grows magical spikes..."	"%s покрывается шипами..."
"Your %s has recharged."	"%^s перезарядил%s."
"Your %s have recharged."	"%^s перезарядились."
"Your shooting might is affected by your equipment."	"На вашу силу стрельбы воздействуют надетые на вас вещи."
"Your shooting speed is affected by your equipment."	"На вашу скорость стрельбы воздействуют надетые на вас вещи."
"Your %s is covered in acid..."	"%s покрывается кислотой..."
"Your %s is covered in fire..."	"%s покрывается пламенем..."
"Your %s is covered in frost..."	"%s покрывается инеем..."
"Your %s is covered in sparks..."	"%s сыплет искрамиs..."
"Your %s is damaged!"	"Ваш%s %s поврежден%s!"
"Your %s is surrounded by lightning..."	"%s окружается молнией..."
"Your %s is unaffected!"	"Ваш%s %s не поврежден%s!"
"Your %s lets out a long, shrill note..."	"%s издает протяжную ноту..."
"Your speed is affected by your equipment."	"На вашу скорость воздействуют надетые на вас вещи."
"Your %s pulsates..."	"%s пульсирует..."
"Your %s radiates deep purple..."	"%s светится глубоким фиолетовым..."
"Your %s rages in fire..."	"%s пылает огнем..."
"Your stealth is affected by your equipment."	"На вашу скрытность воздействуют надетые на вас вещи."
"Your %s throbs deep green..."	"%s светится ядовито-зеленым..."
